		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
300133	华策影视			2018-06-14	265.68	152	4.28	持有	277.06
300315	掌趣科技			2018-06-28	49.19	138	4.23	持有	51.27
600629	华建集团			2018-10-24	52.56	20	4.2	持有	54.77
600083	博信股份			2018-08-20	18.14	85	4.13	持有	18.89
002350	北京科锐			2018-08-23	26.93	82	4.12	持有	28.04
002741	光华科技			2018-08-27	45.53	78	4.09	持有	47.39
601339	百隆东方			2018-10-24	11.37	20	4.05	持有	11.83
002614	蒙发利			2018-09-20	77.73	54	3.96	持有	80.81
600548	深高速			2018-04-24	17.30	203	3.93	持有	17.98
002622	永大集团			2018-08-10	21.07	95	3.84	持有	21.88
300413	快乐购			2018-09-20	35.79	54	3.8	持有	37.15
601231	环旭电子			2018-05-16	20.48	181	3.76	持有	21.25
000778	新兴铸管			2018-10-30	59.54	14	3.75	持有	61.77
300321	同大股份			2018-09-12	27.87	62	3.73	持有	28.91
600328	兰太实业			2018-10-26	20.94	18	3.72	持有	21.72
601006	大秦铁路			2018-10-19	13.23	25	3.7	持有	13.72
601011	宝泰隆			2018-10-26	15.94	18	3.64	持有	16.52
002656	摩登大道			2018-11-12	46.85	1	3.63	持有	48.55
002157	正邦科技			2018-04-03	70.23	224	3.6	持有	72.76
002371	七星电子			2018-11-02	194.65	11	3.58	持有	201.62
600563	法拉电子			2018-10-24	102.82	20	3.53	持有	106.45
600141	兴发集团			2018-09-13	36.99	61	3.51	持有	38.29
002199	*ST东晶			2018-06-28	22.70	138	3.48	持有	23.49
002579	中京电子			2018-03-29	31.45	229	3.37	持有	32.51
002179	中航光电			2018-11-09	230.00	4	3.36	持有	237.73
002412	汉森制药			2018-11-02	62.23	11	3.33	持有	64.30
300229	拓尔思			2018-09-18	32.17	56	3.14	持有	33.18
000008	神州高铁			2018-10-25	111.55	19	3.12	持有	115.03
600600	青岛啤酒			2017-08-28	53.68	442	2.94	持有	55.26
600573	惠泉啤酒			2018-08-10	8.18	95	2.81	持有	8.41
300248	新开普			2018-08-13	57.21	92	2.78	持有	58.80
000768	中航飞机			2018-10-31	123.72	13	2.77	持有	127.15
000668	荣丰控股			2018-08-14	37.68	91	2.71	持有	38.70
600506	香梨股份			2018-10-24	12.78	20	2.66	持有	13.12
600236	桂冠电力			2017-12-20	26.14	328	2.64	持有	26.83
000672	上峰水泥			2018-06-05	54.22	161	2.62	持有	55.64
600984	建设机械			2018-09-20	10.00	54	2.6	持有	10.26
002107	沃华医药			2018-08-21	34.82	84	2.5	持有	35.69
601208	东材科技			2018-09-13	8.44	61	2.49	持有	8.65
002522	浙江众成			2018-08-31	40.27	74	2.46	持有	41.26
600346	*ST橡塑			2018-04-24	99.03	203	2.45	持有	101.46
300203	聚光科技			2018-09-21	25.27	53	2.45	持有	25.89
002552	宝鼎科技			2018-06-29	14.99	137	2.33	持有	15.34
300204	舒泰神			2018-08-13	79.04	92	2.28	持有	80.84
300005	探路者			2018-08-09	42.06	96	2.28	持有	43.02
600288	大恒科技			2018-09-13	32.19	61	2.27	持有	32.92
300233	金城医药			2018-11-02	29.12	11	2.27	持有	29.78
002404	嘉欣丝绸			2018-08-15	25.55	90	2.19	持有	26.11
600231	凌钢股份			2018-10-26	26.09	18	2.18	持有	26.66
002083	孚日股份			2018-10-23	12.31	21	2.11	持有	12.57
002327	富安娜			2018-08-22	71.41	83	2.11	持有	72.92
300049	福瑞股份			2018-08-13	36.17	92	2.1	持有	36.93
000780	平庄能源			2018-07-20	16.53	116	2.06	持有	16.87
600664	哈药股份			2018-08-14	41.52	91	2.05	持有	42.37
300389	艾比森			2018-07-02	67.09	134	1.95	持有	68.40
000089	深圳机场			2018-11-05	55.75	8	1.94	持有	56.83
300294	博雅生物			2018-08-21	147.41	84	1.87	持有	150.16
002520	日发精机			2018-08-10	60.29	95	1.87	持有	61.42
000967	盈峰环境			2018-11-02	29.93	11	1.84	持有	30.48
600488	天药股份			2018-09-21	26.88	53	1.82	持有	27.37
600754	锦江股份			2018-10-23	69.25	21	1.82	持有	70.51
300452	山河药辅			2018-08-27	43.46	78	1.77	持有	44.23
300377	赢时胜			2018-06-27	134.81	139	1.77	持有	137.19
300210	森远股份			2018-09-07	24.28	67	1.73	持有	24.70
300046	台基股份			2018-11-01	56.84	12	1.69	持有	57.80
600830	香溢融通			2018-08-13	59.09	92	1.69	持有	60.09
300434	金石东方			2018-08-23	40.58	82	1.63	持有	41.24
600720	祁连山			2018-07-10	72.14	126	1.62	持有	73.31
002687	乔治白			2018-01-22	27.32	295	1.57	持有	27.75
600785	新华百货			2018-08-24	80.02	81	1.54	持有	81.25
000418	小天鹅Ａ			2018-08-21	136.94	84	1.44	持有	138.91
601607	上海医药			2018-09-27	23.29	47	1.29	持有	23.59
300449	汉邦高科			2018-08-13	33.47	92	1.28	持有	33.90
600152	维科精华			2018-05-08	17.77	189	1.18	持有	17.98
002191	劲嘉股份			2018-08-21	46.05	84	1.17	持有	46.59
600323	瀚蓝环境			2018-09-19	48.84	55	1.17	持有	49.41
002139	拓邦股份			2018-09-13	72.45	61	1.15	持有	73.28
002725	跃岭股份			2018-09-13	21.26	61	1.13	持有	21.50
002135	东南网架			2018-11-02	16.14	11	1.12	持有	16.32
600673	东阳光科			2018-10-26	108.57	18	0.99	持有	109.65
600396	金山股份			2018-07-09	14.44	127	0.97	持有	14.58
300398	飞凯材料			2018-09-20	81.90	54	0.95	持有	82.68
002214	大立科技			2018-08-14	23.42	91	0.9	持有	23.63
300064	豫金刚石			2018-07-04	21.44	132	0.79	持有	21.61
000809	铁岭新城			2018-07-09	7.95	127	0.75	持有	8.01
300059	东方财富			2018-08-23	416.84	82	0.69	持有	419.73
600569	安阳钢铁			2018-10-24	8.80	20	0.68	持有	8.86
002396	星网锐捷			2018-09-21	57.28	53	0.66	持有	57.66
600747	大连控股			2018-08-09	24.18	96	0.66	持有	24.34
300405	科隆精化			2018-08-10	16.44	95	0.61	持有	16.54
600031	三一重工			2018-11-02	376.44	11	0.61	持有	378.75
002682	龙洲股份			2018-09-14	12.25	60	0.57	持有	12.32
600229	城市传媒			2018-08-23	10.06	82	0.5	持有	10.11
601010	文峰股份			2018-08-09	13.05	96	0.31	持有	13.09
002644	佛慈制药			2018-08-23	49.08	82	0.24	持有	49.20
002110	三钢闽光			2018-04-23	18.62	204	0.21	持有	18.66
600590	泰豪科技			2018-07-09	26.77	127	0.19	持有	26.82
002320	海峡股份			2018-11-01	51.84	12	0.15	持有	51.92
002234	民和股份			2018-10-10	27.17	34	0.15	持有	27.21
603012	创力集团			2017-12-08	15.85	340	0.13	持有	15.87
002126	银轮股份			2018-08-27	41.32	78	0.12	持有	41.37
600643	爱建集团			2018-06-29	73.81	137	0.11	持有	73.89
000613	大东海A			2018-11-02	11.20	11	0.09	持有	11.21
300152	科融环境			2018-08-13	20.00	92	0.0	持有	20.00
002152	广电运通			2018-11-13	96.42	0	0.0	持有	96.42
600753	东方银星			2018-10-22	35.29	22	0.0	持有	35.29
601901	方正证券			2018-09-21	5.74	53	0.0	持有	5.74
000560	昆百大Ａ			2018-08-28	29.20	77	-0.17	持有	29.15
002541	鸿路钢构			2018-09-21	22.86	53	-0.26	持有	22.80
600232	金鹰股份			2018-05-18	15.66	179	-0.32	持有	15.61
000652	泰达股份			2018-08-27	83.07	78	-0.33	持有	82.80
002413	雷科防务			2018-09-04	29.53	70	-0.34	持有	29.43
601766	中国中车			2018-11-01	10.22	12	-0.39	持有	10.18
600688	上海石化			2018-07-13	18.70	123	-0.48	持有	18.61
600581	*ST八钢			2018-10-25	27.98	19	-0.5	持有	27.84
300190	维尔利			2018-09-21	57.78	53	-0.55	持有	57.46
300261	雅本化学			2018-03-30	47.38	228	-0.61	持有	47.09
002328	新朋股份			2018-01-25	10.60	292	-0.66	持有	10.53
300207	欣旺达			2018-08-09	59.89	96	-0.68	持有	59.48
300420	五洋科技			2018-02-26	31.96	260	-0.78	持有	31.71
000890	法 尔 胜			2018-08-27	18.25	78	-0.82	持有	18.10
002507	涪陵榨菜			2018-09-19	127.11	55	-0.94	持有	125.92
300310	宜通世纪			2018-07-23	38.79	113	-0.95	持有	38.42
000528	柳 工			2018-11-02	95.34	11	-0.96	持有	94.42
002215	诺 普 信			2018-11-02	56.20	11	-0.96	持有	55.66
300212	易华录			2018-06-29	138.97	137	-0.97	持有	137.62
600051	宁波联合			2018-07-09	26.84	127	-1.01	持有	26.57
600965	福成股份			2018-10-22	21.36	22	-1.03	持有	21.14
002388	新亚制程			2018-08-10	22.23	95	-1.03	持有	22.00
000997	新 大 陆			2018-06-29	167.85	137	-1.1	持有	166.01
600301	*ST南化			2018-04-13	11.34	214	-1.15	持有	11.21
601328	交通银行			2017-11-20	10.26	358	-1.17	持有	10.14
601398	工商银行			2018-06-15	9.28	151	-1.19	持有	9.17
300239	东宝生物			2018-08-27	22.55	78	-1.2	持有	22.28
002397	梦洁家纺			2018-07-02	56.28	134	-1.26	持有	55.57
601566	九牧王			2018-01-22	18.30	295	-1.26	持有	18.07
600282	南钢股份			2018-10-24	20.56	20	-1.26	持有	20.30
600857	宁波中百			2018-08-30	51.04	75	-1.35	持有	50.35
300249	依米康			2018-10-22	32.99	22	-1.36	持有	32.54
300149	量子高科			2018-07-27	97.64	109	-1.39	持有	96.28
002415	海康威视			2018-09-25	573.02	49	-1.4	持有	565.00
000736	中房地产			2017-08-01	24.95	469	-1.4	持有	24.60
600011	华能国际			2017-08-21	32.47	449	-1.42	持有	32.01
000757	浩物股份			2018-08-14	27.68	91	-1.45	持有	27.28
600099	林海股份			2018-08-27	17.87	78	-1.51	持有	17.60
002299	圣农发展			2018-10-10	37.22	34	-1.53	持有	36.65
