		code	name	buy_date	buy_price	period	ratio	sell_date	sell_price
002653	海思科			2016-05-27	47.41	154	8.56	持有	51.47
000627	天茂集团			2016-01-29	209.41	273	8.56	持有	227.34
000821	京山轻机			2016-03-16	33.69	226	8.55	持有	36.57
000972	中基健康			2016-06-01	19.93	149	8.53	持有	21.63
000564	西安民生			2016-05-27	33.40	154	8.44	持有	36.22
601555	东吴证券			2016-10-10	14.46	18	8.37	持有	15.67
002630	华西能源			2016-02-16	44.01	255	8.32	持有	47.67
600301	*ST南化			2016-06-28	22.07	65	8.29	持有	23.90
002363	隆基机械			2016-03-14	28.24	228	8.14	持有	30.54
000727	华东科技			2016-03-15	17.64	227	8.11	持有	19.07
000938	紫光股份			2016-03-14	143.68	228	8.09	持有	155.31
002338	奥普光电			2016-03-14	79.06	228	8.08	持有	85.45
000557	西部创业			2016-06-29	403.06	121	8.05	持有	435.49
600015	华夏银行			2016-07-04	33.54	116	7.87	持有	36.18
002427	尤夫股份			2015-12-18	35.22	315	7.81	持有	37.97
601899	紫金矿业			2016-06-01	5.42	149	7.75	持有	5.84
002481	双塔食品			2016-05-31	129.77	150	7.73	持有	139.80
002551	尚荣医疗			2016-05-23	117.04	158	7.71	持有	126.06
300349	金卡股份			2015-11-06	91.50	357	7.66	持有	98.51
600809	山西汾酒			2016-09-06	98.39	52	7.6	持有	105.87
600180	瑞茂通			2016-09-30	40.71	28	7.59	持有	43.80
600834	申通地铁			2016-03-08	69.84	234	7.52	持有	75.09
002560	通达股份			2016-08-17	46.33	72	7.51	持有	49.81
000697	炼石有色			2016-08-16	80.98	73	7.4	持有	86.97
002242	九阳股份			2016-06-28	74.31	122	7.39	持有	79.80
002639	雪人股份			2016-10-11	35.61	17	7.39	持有	38.24
300233	金城医药			2016-08-31	49.79	58	7.37	持有	53.46
000055	方大集团			2016-09-22	87.50	36	7.36	持有	93.94
600600	青岛啤酒			2016-07-04	47.51	116	7.35	持有	51.00
600863	内蒙华电			2016-05-25	49.22	156	7.33	持有	52.83
000963	华东医药			2016-09-20	226.17	38	7.32	持有	242.73
600866	*ST星湖			2016-07-05	88.27	115	7.26	持有	94.68
600160	巨化股份			2016-05-24	75.30	157	7.21	持有	80.73
300183	东软载波			2016-09-26	109.31	32	7.18	持有	117.16
002249	大洋电机			2016-05-17	108.03	164	7.18	持有	115.79
000716	黑芝麻			2016-08-16	26.77	73	7.1	持有	28.67
600648	外高桥			2016-03-18	123.88	224	7.03	持有	132.59
000792	盐湖股份			2016-03-03	93.90	239	6.89	持有	100.37
603168	莎普爱思			2016-09-30	103.40	28	6.8	持有	110.43
300064	豫金刚石			2016-09-30	45.33	28	6.77	持有	48.40
000762	西藏矿业			2016-10-10	102.38	18	6.74	持有	109.28
300408	三环集团			2016-08-25	68.51	64	6.64	持有	73.06
002126	银轮股份			2016-09-29	45.86	29	6.61	持有	48.89
002138	顺络电子			2016-08-15	109.04	74	6.53	持有	116.16
601718	际华集团			2016-10-12	8.30	16	6.51	持有	8.84
002304	洋河股份			2016-09-26	251.72	32	6.5	持有	268.08
300031	宝通科技			2016-08-29	148.11	60	6.46	持有	157.68
000623	吉林敖东			2016-05-06	397.70	175	6.45	持有	423.34
600885	宏发股份			2016-09-08	86.44	50	6.42	持有	91.99
002202	金风科技			2016-03-07	77.39	235	6.34	持有	82.30
000848	承德露露			2016-09-22	219.49	36	6.31	持有	233.34
000543	皖能电力			2016-09-30	41.69	28	6.28	持有	44.31
300257	开山股份			2016-10-10	96.59	18	6.22	持有	102.60
002701	奥瑞金			2016-03-02	76.94	240	6.17	持有	81.69
002121	科陆电子			2016-02-16	141.47	255	6.12	持有	150.13
002324	普利特			2016-09-01	61.91	57	6.11	持有	65.69
600586	金晶科技			2016-05-31	52.51	150	6.02	持有	55.67
600008	首创股份			2016-06-01	29.12	149	6.01	持有	30.87
002203	海亮股份			2016-05-05	27.25	176	5.98	持有	28.88
300424	航新科技			2016-02-02	53.82	269	5.95	持有	57.02
002061	*ST江化			2016-06-29	14.61	50	5.95	持有	15.48
002182	云海金属			2016-09-19	31.83	39	5.94	持有	33.72
601991	大唐发电			2016-06-21	9.02	129	5.88	持有	9.55
600311	荣华实业			2016-09-21	28.74	37	5.88	持有	30.43
603009	北特科技			2016-09-07	40.11	51	5.81	持有	42.44
300390	天华超净			2016-05-31	49.02	150	5.79	持有	51.86
600868	梅雁吉祥			2016-01-05	246.03	297	5.78	持有	260.25
000550	江铃汽车			2016-02-02	63.31	269	5.75	持有	66.95
300410	正业科技			2016-10-10	115.81	18	5.63	持有	122.33
002240	威华股份			2016-08-30	17.80	59	5.62	持有	18.80
002326	永太科技			2016-09-27	85.80	31	5.58	持有	90.59
300128	锦富新材			2016-10-10	63.88	18	5.54	持有	67.42
600673	东阳光科			2016-08-15	85.96	74	5.51	持有	90.70
000611	*ST蒙发			2016-03-08	35.97	149	5.48	持有	37.94
000718	苏宁环球			2016-09-22	59.35	36	5.43	持有	62.57
600533	XD栖霞建			2016-08-08	43.98	81	5.39	持有	46.35
002345	潮宏基			2016-06-24	64.09	126	5.38	持有	67.54
300109	新开源			2016-09-30	167.79	28	5.32	持有	176.71
000632	三木集团			2016-07-04	65.92	116	5.32	持有	69.43
601101	昊华能源			2016-06-17	18.50	21	4.97	持有	19.42
300100	双林股份			2016-09-05	111.25	53	4.96	持有	116.77
002327	富安娜			2016-03-02	74.48	240	4.94	持有	78.16
000511	*ST烯碳			2016-03-03	146.25	53	4.94	持有	153.47
002278	神开股份			2016-03-04	33.18	238	4.91	持有	34.81
600029	南方航空			2016-02-15	11.05	256	4.89	持有	11.59
603021	山东华鹏			2016-10-10	48.29	18	4.85	持有	50.63
600889	南京化纤			2016-02-02	51.43	269	4.84	持有	53.92
300053	欧比特			2016-09-28	75.17	30	4.74	持有	78.73
000886	海南高速			2016-02-04	15.44	267	4.73	持有	16.17
000861	海印股份			2016-02-03	97.13	268	4.72	持有	101.71
300406	九强生物			2016-09-27	93.08	31	4.61	持有	97.37
600150	中国船舶			2016-06-28	73.14	122	4.59	持有	76.50
600011	华能国际			2016-05-24	29.91	157	4.58	持有	31.28
000046	泛海控股			2016-05-13	306.55	168	4.52	持有	320.42
002299	圣农发展			2016-10-18	52.08	10	4.49	持有	54.42
000887	中鼎股份			2016-09-21	473.63	37	4.44	持有	494.66
600012	皖通高速			2016-10-10	25.25	18	4.44	持有	26.37
600378	天科股份			2016-06-29	54.30	121	4.36	持有	56.67
600686	金龙汽车			2016-10-11	158.31	17	4.34	持有	165.18
002305	南国置业			2016-09-28	18.43	30	4.34	持有	19.23
600896	中海海盛			2016-03-09	56.88	233	4.32	持有	59.34
600283	钱江水利			2016-02-02	19.75	269	4.3	持有	20.60
600986	科达股份			2016-05-19	68.88	162	4.3	持有	71.84
600789	鲁抗医药			2016-03-07	20.36	235	4.27	持有	21.23
002658	雪迪龙			2016-05-25	70.95	156	4.26	持有	73.97
600208	新湖中宝			2016-10-19	28.95	9	4.25	持有	30.18
002465	海格通信			2016-05-05	78.59	176	4.25	持有	81.93
