code,name_x,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,name_y,changepercent,trade,open,high,low,settlement,volume,turnoverratio,pe,pb
600461,洪城水业,0.49,44.12,,8.44,,16156.31,42.01,,10-30,洪城水业,2.726,15.83,15.47,15.96,15.37,15.41,11329154,3.43308,32.306122449,2.72663673469
000716,黑芝麻,0.22,7.21,,3.67,,7059.4,38.27,,10-29,黑芝麻,10.027,16.35,14.9,16.35,14.87,14.86,30610320,13.76738,74.3181818182,2.72747727273
600143,金发科技,0.21,16.67,,6.66,,54424.96,19.19,,10-22,金发科技,3.971,8.64,8.21,8.72,8.21,8.31,59297790,2.31632,41.1428571429,2.74011428571
600006,东风汽车,0.17,78.69,,5.3,,33195.68,78.68,,10-31,东风汽车,0.686,8.81,8.72,8.83,8.69,8.75,34225956,1.7113,51.8235294118,2.74664705882
600428,中远航运,0.22,92.04,,5.43,,36608.47,90.89,,10-31,中远航运,-3.713,11.41,11.48,11.86,11.26,11.85,95281016,5.63644,51.8636363636,2.81619545455
600122,宏图高科,0.32,111.21,,4.59,,36943.52,112.0,,10-30,宏图高科,0.255,19.67,19.4,20.2,19.24,19.62,27136163,2.37586,61.46875,2.821415625
600323,瀚蓝环境,0.42,13.51,,7.27,,31948.49,48.65,,10-30,瀚蓝环境,2.904,16.3,16.08,16.56,16.01,15.84,17686364,3.05336,38.8095238095,2.82145238095
000818,方大化工,0.09,38.83,,2.9,,5835.15,38.88,,10-23,方大化工,-1.124,8.8,8.83,8.91,8.71,8.9,19031076,2.79869,97.7777777778,2.83555555556
600757,长江传媒,0.28,33.33,,7.07,,34520.56,36.09,,10-28,长江传媒,0.894,11.28,11.17,11.48,11.1,11.18,22252871,1.83378,40.2857142857,2.8482
000625,长安汽车,1.45,23.93,,23.76,,674084.32,23.62,,10-31,长安汽车,5.751,17.47,16.59,17.58,16.59,16.52,80351040,2.37197,12.0482758621,2.86267034483
000598,兴蓉环境,0.24,4.35,,9.35,,72896.13,8.33,,10-28,兴蓉环境,1.238,7.36,7.24,7.39,7.23,7.27,51916092,1.73852,30.6666666667,2.86733333333
601628,中国人寿,1.2,23.71,10.57,11.67,1.33,3383700.0,22.81,,10-29,中国人寿,3.092,29.67,28.65,30.09,28.51,28.78,33530920,0.16102,24.725,2.8854075
000939,凯迪生态,0.17,21.43,,3.5,,23596.13,80.39,,10-27,凯迪生态,1.445,14.04,13.88,14.13,13.8,13.84,21930904,2.33046,82.5882352941,2.89058823529
000501,鄂武商A,1.09,13.54,,14.76,,55328.2,14.14,,10-31,鄂武商Ａ,0.659,21.39,20.96,22.16,20.96,21.25,18489480,3.64552,19.623853211,2.89648073394
002054,德美化工,0.81,268.18,,17.36,,30614.59,332.67,,10-31,德美化工,1.723,13.58,13.48,13.76,13.4,13.35,13690029,4.3854,16.7654320988,2.91047901235
000905,厦门港务,0.27,8.0,,5.49,,14285.72,9.24,,10-30,厦门港务,5.441,14.34,13.5,14.8,13.49,13.6,28195420,5.30987,53.1111111111,2.9158
300158,振东制药,0.17,24.07,6.88,2.53,-0.11,5001.38,23.12,,10-26,振东制药,0.819,19.7,19.61,19.98,19.47,19.54,5026131,1.75657,115.882352941,2.93182352941
601211,国泰君安,1.75,173.44,,20.2,,1196111.1,204.08,,10-30,国泰君安,0.395,25.41,25.1,25.98,25.06,25.31,66882838,4.38576,14.52,2.93304
000719,大地传媒,0.61,12.96,,8.31,,47753.29,12.57,,10-28,大地传媒,2.274,21.59,21.0,21.59,20.95,21.11,5925021,1.15455,35.393442623,2.94119508197
600218,全柴动力,0.21,72.88,,4.44,,7267.73,113.39,,10-30,全柴动力,1.01,14.0,13.86,14.03,13.64,13.86,8917927,3.14676,66.6666666667,2.96
600150,中国船舶,0.12,22.77,,0.98,,17079.92,23.09,,10-31,中国船舶,2.531,36.46,35.73,36.99,35.6,35.56,19897430,1.44381,303.833333333,2.97756666667
